category,item,status,reason,path,official_url
data-types,binary-and-varbinary-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/binary-and-varbinary-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/binary-and-varbinary-transact-sql?view=sql-server-ver17
data-types,bit-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/bit-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/bit-transact-sql?view=sql-server-ver17
data-types,char-and-varchar-transact-sql,CURRENT,当前 SQL Server 方言已有代表性用例或由现有核心 AST 直接覆盖,docs/t-sql/data-types/char-and-varchar-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/char-and-varchar-transact-sql?view=sql-server-ver17
data-types,constants-transact-sql,HOOK_ONLY,可通过类型/字面量 hook 扩展,docs/t-sql/data-types/constants-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/constants-transact-sql?view=sql-server-ver17
data-types,cursor-transact-sql,MODEL_REQUIRED,类型带方法、表变量、游标或 SQL Server 专有存储语义，需要专用模型,docs/t-sql/data-types/cursor-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/cursor-transact-sql?view=sql-server-ver17
data-types,data-type-conversion-database-engine,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/data-type-conversion-database-engine.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/data-type-conversion-database-engine?view=sql-server-ver17
data-types,data-type-precedence-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/data-type-precedence-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/data-type-precedence-transact-sql?view=sql-server-ver17
data-types,data-type-synonyms-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/data-type-synonyms-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/data-type-synonyms-transact-sql?view=sql-server-ver17
data-types,data-types-transact-sql,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/data-types-transact-sql.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/data-types-transact-sql?view=sql-server-ver17
data-types,date-and-time-types,REFERENCE_ONLY,官方索引/分类页，不作为独立实现单元统计支持率,docs/t-sql/data-types/date-and-time-types.md,https://learn.microsoft.com/en-us/sql/t-sql/data-types/date-and-time-types?view=sql-server-ver17
